    173     180       0       0       0       0       0       0
      0       0       0       0       0       0       0       0
      0       0       0       0       0       0       0       0
      0       0       0       0       0       0       0       0
      0       0       0       0       0       0       0       0
      0       0       0       0       0       0       0       0
      0       0       0       0       0       0       0       0
      0       0       0       0       0       0       0       0
      0       0       0       0       0       0       0       2
     16      21     175     331     346     328     315     305
    292     261     302     300     302     285     264     252
    245     246     247     244     267     225     233     225
    218     182     214     231     206     194     214     200
    210     227     221     201     207     203     194     187
    189     183     185     169     162     192     165     145
    183     162     188     183     180     182     155     167
    166     178     201     178     174     145     150     162
    162     155     179     158     174     178     169     177
    137     169     155     164     147     160     160     163
    147     175     158     165     146     169     175     165
    166     161     155     161     155     148     158     154
    135     157     161     166     151     111     121     136
    127     128     147     133     129     110     120     105
    113     121     116     114     105      90     113     101
    102     115     126     112     103     100     109      91
    102     101      92      97     110     102     101      84
    102      95      97     100      93     104      94      96
     90      95      98      95     100      91      85     104
    100      90     107      91      97      90      86     106
    113     101     102      91      79     108      98      96
    107     116     110     112      94      90     105     112
     87      80      92     104     111     109      84      86
     83     108     107      98      76      93      76      87
     82      72      93      80      89      95      81      95
     71      89      82      70      71      61      72      90
     85      70      77      86      77      64      81      78
     89      88      80      81      68      83      78      87
     75      96      74      62      76      67      79      87
     72      74      77      76      67      76      93      87
     99      62      81      81      82      76      72      81
     72      74      82      81      63      63      77      90
     75      86      70      68      75      65      92      76
     78      75      70      75      76      74      76      69
     76      83      72      72      76      92      59      76
     80      84      68      64      78      76      65      68
     71      69      71      66      72      68      81      71
     86      72      64      65      61      72      81      63
     70      59      81      72      63      86      71      79
     78      66      62      78      69      82      72      69
     78      75      69      68      68      73      87      83
     70      66      70      78      75      77      75      76
     77      74      89      69      97      86      83      93
     92      86      80      89      78      92      86      72
     68      87      83      86      75      72      88      98
     88      95     112     101     113      78      91     104
     88      87      96      97      93     109      94     104
    106     112     112     113     128     113     113     105
    116     110     117     114     140     135     113     114
    126     149     142     135     123     121     127     138
    136     132     149     159     147     147     162     164
    169     154     151     145     170     201     174     189
    181     226     208     215     194     205     218     246
    240     245     241     209     293     252     261     265
    274     276     315     310     331     296     295     340
    363     332     329     404     409     387     434     417
    482     458     473     446     472     503     522     526
    544     582     584     664     647     663     709     744
    713     740     771     778     797     867     921     930
    944     975    1001    1091    1129    1119    1144    1192
   1283    1290    1259    1371    1369    1428    1488    1531
   1590    1676    1667    1726    1818    1804    1877    1943
   2006    2117    2129    2173    2255    2292    2493    2404
   2507    2525    2605    2780    2751    2769    2824    2949
   3070    3068    3002    3168    3254    3272    3337    3401
   3437    3481    3496    3565    3621    3638    3758    3665
   3742    3739    3828    3883    3810    3777    3986    3911
   3928    3918    3989    3952    3998    4012    3998    4022
   3834    3878    3863    3983    3921    4016    4096    3927
   3961    3959    4041    3901    3944    4008    3956    3897
   3930    3935    3875    3987    3882    3844    3807    3870
   3858    3846    3876    3767    3769    3872    3654    3738
   3662    3777    3733    3625    3733    3591    3503    3543
   3585    3500    3569    3459    3471    3527    3373    3372
   3319    3400    3384    3367    3387    3143    3292    3124
   3086    3140    3016    3067    3019    2836    2921    2878
   2770    2691    2665    2596    2548    2497    2415    2283
   2340    2197    2159    2020    1977    1967    1843    1875
   1658    1594    1495    1418    1357    1313    1165    1144
   1079     988     888     738     698     698     590     509
    488     458     385     366     309     277     237     238
    179     188     162     130     112     112      97      87
     67      56      47      46      39      35      32      14
     31      32      18      20      21      19      14      10
     14       7      13      10       5       7      12       7
      7       4       4       7       4       6       7       5
     10       4       5       4       2       8       7       7
     10       7       2       2       7       6      10       7
      7      11       4      11       6      10       7      12
     11       4       9       5       6       5      10       8
      9       9       6       8       8       8      13       7
     13       5      10      11       8       9       8      11
     11       5       5       9      11      10      13       7
      9       4      11      13      14       9       7       9
      6      13       7      13       7       7       9      10
     13      10      11      12      10      10       9      15
      4      13      12      11      12       9       8       7
     13      10       5      13       7       8      12       9
      9      10      13      12       9      15       7      12
     11       8       9       9      14      10       8       8
      9       7      13      10      12       9      12       9
      7      11       6       7       6      12       9       7
      7       6      10       7       8       4      12      10
      9      14       3       9      12      10      16      11
     12       6      17       4      11      12       6      13
     13      12      13      10       8       7      13      14
     19       8      15      13       7      13      10       7
     15      12      13      10      14       9       6      10
      8      10      13       7      10      12       7       9
     11      13      16      10      10       7       5       6
     15       9      10       8      12       5       9      12
      9      12      11       5      11      12      12       7
      5       8       7       8       9      10      10       9
     10      10       9       5      15       6       5       4
     16       8      15       5       4       7       8       5
     12      13      10       8       9      10      14      10
      9      10       8       8       9       8       9       6
      8       8      12      17       5      12      15       7
     13       9      14       7       7      12      11      12
$Angles (tilt,azimute): 0 0
$Date & Time          :23-11-2022         12:53:31
$ERDrun14.dat
$B(12:50:27) = 4.784760 kG
$B(12:50:05) = 4.784760 kG
